FRAIS_FIXE,FRAIS_ACQUIS,FRAIS_GLOBAL,FRAIS_VARIABLE,date
-3118.41,0.0,-619.63,-13934.929999999998,2020-09-30
-95092.44,-3183.54,-38383.93,18049.470000000005,2020-10-31
-101551.86,-9719.17,-24492.05,-119537.37999999999,2020-11-30
-100330.69,-24966.31,-36973.63,3686.9500000000053,2020-12-31
-92808.95,-23646.87,-23120.6,76520.19,2021-01-31
-88021.44,-3515.8500000000004,-19686.21,-41603.71,2021-02-28
-103587.28,-9502.53,-25766.15,-39275.979999999996,2021-03-31
-94969.09,-7216.09,-21125.13,-97286.1,2021-04-30
-99717.92,-1498.64,-21009.81,29462.29,2021-05-31
-98853.49,-6502.19,-24595.61,698.6100000000006,2021-06-30
-98650.14,-63.0,-23639.84,-1.4600000000000932,2021-07-31
-106997.75,0.0,-26397.85,0.0,2021-08-31
-100555.81999999999,0.0,-22154.86,-40.039999999999935,2021-09-30
-96138.24,0.0,-27020.77,40.04,2021-10-31
-106045.9,0.0,-25149.829999999998,0.0,2021-11-30
-102671.89,0.0,-27897.22,-34.31000000000001,2021-12-31
-103401.2,0.0,-22963.31,33.86000000000058,2022-01-31
-91312.78,0.0,-24996.94,0.0,2022-02-28
-96801.21,0.0,-21648.37,0.0,2022-03-31
-89653.15,-996.5300000000001,-20700.18,-125385.64,2022-04-30
-95243.96,-5569.25,-20760.989999999998,-47880.64,2022-05-31
-85281.58,-7024.41,-19047.1,-154546.05,2022-06-30
-80307.34,-4526.5,-19726.579999999998,78802.3,2022-07-31
-116832.89,-6360.94,-26817.04,46816.59000000001,2022-08-31
-104476.73,-8549.34,-23299.739999999998,-86159.61,2022-09-30
-102819.44,-5128.49,-23374.96,36921.93,2022-10-31
-103185.05,-2685.59,-22996.83,206990.13,2022-11-30
-106393.51,-169.31,-28187.4,19997.450000000004,2022-12-31
-121210.17,-4378.889999999999,-29347.3,20912.05,2023-01-31
-117836.03,-14.16,-32335.79,1735.91,2023-02-28
-129474.37,-923.49,-34121.35,54.34000000000006,2023-03-31
-122161.95999999999,0.0,-28244.48,869.03,2023-04-30
-147802.97,0.0,-33103.75,693.3499999999999,2023-05-31
-136330.25,0.0,-32095.120000000003,68.13,2023-06-30
-140433.68,0.0,-31976.51,0.0,2023-07-31
-136555.11,0.0,-30655.36,0.0,2023-08-31
-132724.88999999998,0.0,-31156.27,0.0,2023-09-30
-135773.97,0.0,-33566.69,0.0,2023-10-31
-131131.36000000002,0.0,-33866.47,0.0,2023-11-30
-130275.87,0.0,-33763.75,0.0,2023-12-31
-148956.67,0.0,-34002.69,0.0,2024-01-31
-135067.29,0.0,-35700.94,0.0,2024-02-29
-144148.06,0.0,-35407.89,0.0,2024-03-31
-142706.75,0.0,-34951.06,0.0,2024-04-30
-150316.55,0.0,-39233.57,0.0,2024-05-31
-138239.27,0.0,-39384.549999999996,0.0,2024-06-30
-163863.79,0.0,-42880.79,-1.7763568394002505e-15,2024-07-31
-151032.22,0.0,-32822.44,-1.54,2024-08-31
-160316.83000000002,0.0,-38083.46,1.54,2024-09-30
